filament_id,name,filament_type
GFA00,Bambu PLA Basic,PLA
GFA01,Bambu PLA Matte,PLA
GFA02,Bambu PLA Metal,PLA
GFA05,Bambu PLA Silk,PLA
GFA06,Bambu PLA Silk+,PLA
GFA07,Bambu PLA Marble,PLA
GFA08,Bambu PLA Sparkle,PLA
GFA09,Bambu PLA Tough,PLA
GFA10,Bambu PLA Tough+,PLA
GFA11,Bambu PLA Aero,PLA-AERO
GFA12,Bambu PLA Glow,PLA
GFA13,Bambu PLA Dynamic,PLA
GFA15,Bambu PLA Galaxy,PLA
GFA16,Bambu PLA Wood,PLA
GFA17,Bambu PLA Translucent,PLA
GFA18,Bambu PLA Lite,PLA
GFA19,Bambu PLA Pure,PLA
GFA50,Bambu PLA-CF,PLA-CF
GFB00,Bambu ABS,ABS
GFB01,Bambu ASA,ASA
GFB02,Bambu ASA-Aero,ASA-AERO
GFB50,Bambu ABS-GF,ABS-GF
GFB51,Bambu ASA-CF,ASA-CF
GFB60,PolyLite ABS,ABS
GFB61,PolyLite ASA,ASA
GFB98,Generic ASA,ASA
GFB99,Generic ABS,ABS
GFC00,Bambu PC,PC
GFC01,Bambu PC FR,PC
GFC99,Generic PC,PC
GFG00,Bambu PETG Basic,PETG
GFG01,Bambu PETG Translucent,PETG
GFG02,Bambu PETG HF,PETG
GFG03,Bambu PETG Matte,PETG
GFG50,Bambu PETG-CF,PETG-CF
GFG60,PolyLite PETG,PETG
GFG96,Generic PETG HF,PETG
GFG97,Generic PCTG,PCTG
GFG98,Generic PETG-CF,PETG-CF
GFG99,Generic PETG,PETG
GFL00,PolyLite PLA,PLA
GFL01,PolyTerra PLA,PLA
GFL03,eSUN PLA+,PLA
GFL04,Overture PLA,PLA
GFL05,Overture Matte PLA,PLA
GFL06,Fiberon PETG-ESD,PETG
GFL50,Fiberon PA6-CF,PA6-CF
GFL51,Fiberon PA6-GF,PA-GF
GFL52,Fiberon PA12-CF,PA-CF
GFL53,Fiberon PA612-CF,PA
GFL54,Fiberon PET-CF,PET-CF
GFL55,Fiberon PETG-rCF,PETG-CF
GFL95,Generic PLA High Speed,PLA
GFL96,Generic PLA Silk,PLA
GFL98,Generic PLA-CF,PLA-CF
GFL99,Generic PLA,PLA
GFN03,Bambu PA-CF,PA-CF
GFN04,Bambu PAHT-CF,PA-CF
GFN05,Bambu PA6-CF,PA6-CF
GFN06,Bambu PPA-CF,PPA-CF
GFN08,Bambu PA6-GF,PA-GF
GFN96,Generic PPA-GF,PPA-GF
GFN97,Generic PPA-CF,PPA-CF
GFN98,Generic PA-CF,PA-CF
GFN99,Generic PA,PA
GFP95,Generic PP-GF,PP-GF
GFP96,Generic PP-CF,PP-CF
GFP97,Generic PP,PP
GFP98,Generic PE-CF,PE-CF
GFP99,Generic PE,PE
GFR98,Generic PHA,PHA
GFR99,Generic EVA,EVA
GFS00,Bambu Support W,PLA
GFS01,Bambu Support G,PA
GFS02,Bambu Support For PLA,PLA
GFS03,Bambu Support For PA/PET,PA
GFS04,Bambu PVA,PVA
GFS05,Bambu Support For PLA/PETG,PLA
GFS06,Bambu Support for ABS,ABS
GFS97,Generic BVOH,BVOH
GFS98,Generic HIPS,HIPS
GFS99,Generic PVA,PVA
GFSNL02,SUNLU PLA Matte,PLA
GFSNL03,SUNLU PLA+,PLA
GFSNL04,SUNLU PLA+ 2.0,PLA
GFSNL05,SUNLU Silk PLA+,PLA
GFSNL06,SUNLU PLA Marble,PLA
GFSNL07,SUNLU Wood PLA,PLA
GFSNL08,SUNLU PETG,PETG
GFT01,Bambu PET-CF,PET-CF
GFT02,Bambu PPS-CF,PPS-CF
GFT97,Generic PPS,PPS
GFT98,Generic PPS-CF,PPS-CF
GFU00,Bambu TPU 95A HF,TPU
GFU01,Bambu TPU 95A,TPU
GFU02,Bambu TPU for AMS,TPU-AMS
GFU03,Bambu TPU 90A,TPU
GFU04,Bambu TPU 85A,TPU
GFU98,Generic TPU for AMS,TPU-AMS
GFU99,Generic TPU,TPU
